Date,Sit_Start,Sit_End,Duration_sec
2025-12-11,2025-12-11 02:20:10,2025-12-11 02:20:26,15.8
2025-12-11,2025-12-11 02:23:52,2025-12-11 02:23:56,4.0
2025-12-11,2025-12-11 02:24:11,2025-12-11 02:24:14,2.5
2025-12-11,2025-12-11 02:24:29,2025-12-11 02:24:44,14.8
2025-12-11,2025-12-11 02:25:44,2025-12-11 02:25:47,2.9
2025-12-11,2025-12-11 02:25:49,2025-12-11 02:25:52,2.4
2025-12-11,2025-12-11 02:29:15,2025-12-11 02:29:17,1.6
2025-12-11,2025-12-11 02:29:28,2025-12-11 02:29:30,2.4
2025-12-11,2025-12-11 02:30:02,2025-12-11 02:30:10,8.1
2025-12-11,2025-12-11 02:30:25,2025-12-11 02:30:46,21.2
2025-12-11,2025-12-11 14:08:08,2025-12-11 14:08:11,2.7
2025-12-11,2025-12-11 14:08:58,2025-12-11 14:08:59,1.3
2025-12-11,2025-12-11 14:09:05,2025-12-11 14:09:15,9.4
2025-12-11,2025-12-11 14:09:20,2025-12-11 14:09:21,1.2
2025-12-11,2025-12-11 14:09:34,2025-12-11 14:09:45,11.4
2025-12-11,2025-12-11 14:09:47,2025-12-11 14:09:50,2.9
2025-12-11,2025-12-11 14:14:49,2025-12-11 14:15:05,16.6
2025-12-11,2025-12-11 14:15:14,2025-12-11 14:15:15,1.2
2025-12-11,2025-12-11 14:16:04,2025-12-11 14:16:05,1.2
2025-12-11,2025-12-11 14:17:59,2025-12-11 14:18:02,3.6
2025-12-11,2025-12-11 14:18:11,2025-12-11 14:18:13,1.6
2025-12-11,2025-12-11 14:18:32,2025-12-11 14:18:54,22.1
2025-12-11,2025-12-11 14:19:07,2025-12-11 14:19:13,5.3
2025-12-11,2025-12-11 14:19:18,2025-12-11 14:19:19,1.4
2025-12-11,2025-12-11 14:19:21,2025-12-11 14:21:31,129.7
2025-12-11,2025-12-11 14:21:58,2025-12-11 14:22:26,28.8
2025-12-11,2025-12-11 14:28:25,2025-12-11 14:28:29,3.6
2025-12-11,2025-12-11 14:28:38,2025-12-11 14:28:48,10.7
2025-12-11,2025-12-11 14:28:59,2025-12-11 14:30:19,80.0
2025-12-11,2025-12-11 14:37:50,2025-12-11 14:38:00,10.4
2025-12-11,2025-12-11 14:38:18,2025-12-11 14:38:48,29.9
2025-12-11,2025-12-11 14:40:06,2025-12-11 14:40:07,1.1
2025-12-11,2025-12-11 14:40:48,2025-12-11 14:40:57,8.5
2025-12-11,2025-12-11 14:41:00,2025-12-11 14:41:12,12.0
2025-12-11,2025-12-11 14:41:19,2025-12-11 14:41:21,1.7
2025-12-11,2025-12-11 14:41:36,2025-12-11 14:41:39,3.2
2025-12-11,2025-12-11 14:41:41,2025-12-11 14:41:51,10.7
2025-12-11,2025-12-11 14:45:41,2025-12-11 14:45:52,11.1
2025-12-11,2025-12-11 14:46:20,2025-12-11 14:46:22,2.4
2025-12-11,2025-12-11 14:46:44,2025-12-11 14:46:45,1.1
2025-12-11,2025-12-11 14:46:48,2025-12-11 14:47:17,29.4
2025-12-11,2025-12-11 14:47:47,2025-12-11 14:47:51,4.0
2025-12-11,2025-12-11 14:52:48,2025-12-11 14:52:50,1.2
2025-12-11,2025-12-11 14:59:38,2025-12-11 14:59:46,7.8
2025-12-11,2025-12-11 15:00:01,2025-12-11 15:00:03,2.3
2025-12-11,2025-12-11 15:00:26,2025-12-11 15:00:41,15.1
2025-12-11,2025-12-11 15:00:49,2025-12-11 15:00:52,2.9
2025-12-11,2025-12-11 15:01:07,2025-12-11 15:01:21,14.2
2025-12-11,2025-12-11 15:01:23,2025-12-11 15:01:27,3.5
2025-12-11,2025-12-11 15:01:31,2025-12-11 15:01:41,9.2
2025-12-11,2025-12-11 15:01:43,2025-12-11 15:01:47,4.0
2025-12-11,2025-12-11 15:01:50,2025-12-11 15:01:55,5.5
2025-12-11,2025-12-11 15:08:48,2025-12-11 15:08:56,8.0
2025-12-11,2025-12-11 15:09:37,2025-12-11 15:09:49,12.3
2025-12-11,2025-12-11 15:24:52,2025-12-11 15:25:02,10.1
2025-12-11,2025-12-11 15:25:03,2025-12-11 15:25:05,2.1
2025-12-11,2025-12-11 15:25:26,2025-12-11 15:25:35,8.8
2025-12-11,2025-12-11 23:03:53,2025-12-11 23:04:12,19.3
2025-12-11,2025-12-11 23:04:14,2025-12-11 23:04:18,4.4
2025-12-11,2025-12-11 23:04:20,2025-12-11 23:04:30,10.3
2025-12-11,2025-12-11 23:04:58,2025-12-11 23:05:02,3.5
2025-12-11,2025-12-11 23:05:11,2025-12-11 23:05:14,2.3
2025-12-11,2025-12-11 23:18:36,2025-12-11 23:18:50,13.6
2025-12-11,2025-12-11 23:18:57,2025-12-11 23:18:58,1.3
2025-12-11,2025-12-11 23:19:27,2025-12-11 23:19:38,10.4
2025-12-11,2025-12-11 23:20:08,2025-12-11 23:20:46,37.9
2025-12-11,2025-12-11 23:21:04,2025-12-11 23:21:33,29.3
